generation,kcat_index,mu_log10_kcat
14,kcat_16,4.762812145668529
15,kcat_16,4.754917140102461
16,kcat_16,4.745895291592997
17,kcat_16,4.752177456847676
18,kcat_16,4.750945698284871
19,kcat_16,4.757713544772466
20,kcat_16,4.757474993915092
21,kcat_16,4.76570911017532
22,kcat_16,4.765913960151453
23,kcat_16,4.770624741273721
24,kcat_16,4.767710500257031
25,kcat_16,4.757035418150104
26,kcat_16,4.762850499721431
27,kcat_16,4.761537751064241
28,kcat_16,4.766516233929828
29,kcat_16,4.778136259811209
30,kcat_16,4.777968263913281
31,kcat_16,4.778720689729108
32,kcat_16,4.780329688375204
33,kcat_16,4.7836161114544975
34,kcat_16,4.779270558573969
35,kcat_16,4.769386457878744
36,kcat_16,4.779679705544941
37,kcat_16,4.782634849865047
38,kcat_16,4.781137777376688
39,kcat_16,4.782052270585958
40,kcat_16,4.789724216170381
41,kcat_16,4.791490495285626
42,kcat_16,4.786619738641929
43,kcat_16,4.786409967932427
44,kcat_16,4.785448620842451
45,kcat_16,4.787905485222384
46,kcat_16,4.780382453747291
47,kcat_16,4.779263519203635
48,kcat_16,4.779556971174516
49,kcat_16,4.776889733121781
